Index_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,State Type,Functional,Expression,Engineer,Table_Name,Spatial_Index,Spatial_Layer_Type,Geodetic_Index,Number_Of_Dimensions
"Booking_PK",7A73F053-68C9-E1D6-5D79-F092E6865AAE,160,,6367AAAD-DEDE-4C58-8415-01A92DB955FF,122,Primary Constraint,,N,Y,"Booking",N,,,,
"Client_PK",4328ABDF-E4E6-7CF0-0443-22099DBB9BC5,161,,162EC5F4-36CF-7449-DCC8-057762AFF68D,123,Primary Constraint,,N,Y,"Client",N,,,,
"Hotel_PK",635B8595-5234-D9DA-8850-F73A8103374D,162,,0E798F0F-ECF2-006C-9870-F4ABB897863C,124,Primary Constraint,,N,Y,"Hotel",N,,,,
"Payment_PK",1DE730D2-36B9-C8D0-BA38-F21A51DC7787,163,,667A6D33-FF38-F4CE-3022-DB1084BD3A74,125,Primary Constraint,,N,Y,"Payment",N,,,,
"Tour_PK",BF5AB0DB-91D5-37D3-5FFD-FB6CD4B0D846,164,,56AA20A3-1F78-58F3-42C0-8F8A8A1C63A9,126,Primary Constraint,,N,Y,"Tour",N,,,,
"Voucher_PK",F06453A0-17E1-FEE7-C0D5-91527431CEDF,165,,3EE21394-A563-9820-AC92-1F6A51299276,127,Primary Constraint,,N,Y,"Voucher",N,,,,
"Booking_Client_FK",E813051D-69E4-68B4-BF0B-E528C6DAEBFE,166,,6367AAAD-DEDE-4C58-8415-01A92DB955FF,122,Foreign Key,,N,Y,"Booking",N,,,,
"Booking_Hotel_FK",1E07801A-9B0E-13F3-5026-56324E3711BF,167,,6367AAAD-DEDE-4C58-8415-01A92DB955FF,122,Foreign Key,,N,Y,"Booking",N,,,,
"Booking_Tour_FK",424B1D13-ED3B-5255-C2CC-B1EE1F649599,168,,6367AAAD-DEDE-4C58-8415-01A92DB955FF,122,Foreign Key,,N,Y,"Booking",N,,,,
"Booking_Voucher_FK",D00FB2AE-0D7A-010B-0281-82E0D6005649,169,,6367AAAD-DEDE-4C58-8415-01A92DB955FF,122,Foreign Key,,N,Y,"Booking",N,,,,
"Booking__IDX",A26DAFA3-AC29-F945-DB70-21AE1DC051D2,170,,6367AAAD-DEDE-4C58-8415-01A92DB955FF,122,Unique Plain Index,,N,Y,"Booking",N,,,,
"Client_Voucher_FK",ED51CC73-9651-AAF7-0F3A-F8DFBA5D87BC,171,,162EC5F4-36CF-7449-DCC8-057762AFF68D,123,Foreign Key,,N,Y,"Client",N,,,,
"Client__IDX",8FF88F9D-95A8-1819-847D-CEB9AE89F007,172,,162EC5F4-36CF-7449-DCC8-057762AFF68D,123,Unique Plain Index,,N,Y,"Client",N,,,,
"Payment_Voucher_FK",22477FBE-D029-D992-A511-B4FC55334E0B,173,,667A6D33-FF38-F4CE-3022-DB1084BD3A74,125,Foreign Key,,N,Y,"Payment",N,,,,
